,P,star_name,radius,mass
0,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224
1,2,2MASS J00040288-6410358,192.0,0.018137172
2,4,2MASS J00242463-0158201,37.7,0.075412452
3,6,2MASS J00274197+0503417,236.0,0.029592228
4,8,2MASSW J0030300-145033,87.2,0.051547752
5,9,2MASS J00332386-1521309 [de],131.0,0.027683052
6,10,2MASS J00345157+0523050,31.0,0.040092696
7,11,2MASS 0036+1821,28.6,0.040092696
8,12,2MASSW J0045214+163445,57.0,0.021955524
9,13,WISEP J004701.06+680352.1 [fr],40.0,0.011455056
10,14,2MASS J00501994-3322402 [de],34.0,0.03818352
11,16,2MASS J00584253-0651239 [de],96.0,0.027683052
12,18,2MASSI J0103320+193536,70.0,0.049638576
13,19,SDSSp J010752.33+004156.1 [de],51.0,0.049638576
14,20,2MASSI J0117474-340325 [de],163.0,0.01909176
15,21,2MASS J01415823-4633574 [de],130.0,0.01909176
16,22,SDSS J015141.69+124429.6,70.0,0.044865636
17,26,SDSS J020742.48+000056.2 [de],111.0,0.044865636
18,27,2MASS J02103857-3015313,101.0,0.01431882
19,28,2MASS J02340093-6442068,155.0,0.01909176
20,29,2MASS J02411151-0326587 [de],152.0,0.025773876
21,30,2MASS J02431371−2453298,35.0,0.031501404
22,31,LP 771-21,53.0,0.074457864
23,33,Teegarden's star,12.578,0.07636704
24,34,2MASS J02535980+3206373,184.0,0.06204822
25,35,WISE J0254+0223,24.0,0.06204822
26,36,DEN 0255-4700,16.2,0.07636704
27,37,2MASS J03185403-3421292 [de],45.0,0.046774812
28,38,2MASS J03205965+1854233,47.0,0.084003744
29,39,2MASS J03231002-4631237,192.0,0.021955524
30,40,SDSS J032553.17+042540.1,59.0,0.04295646
31,41,2MASS J03264225-2102057 [de],80.0,0.017182584
32,42,2MASS J03284265+2302051 [de],98.0,0.051547752
33,43,2MASS J03341218-4953322,27.0,0.069684924
34,44,LP 944-20,20.9,0.069684924
35,45,2MASP J0345432+254023,88.0,0.070639512
36,46,Teide 1,380.0,0.05250234
37,47,2MASS J03510004-0052452,48.0,0.097367976
38,48,2MASS J03552337+1133437,29.8,0.01909176
39,50,2MASS J04151954−0935066,18.6,0.02863764
40,52,2MASS J04285096-2253227 [de],85.0,0.07636704
41,53,2MASS J04351612-1606574,34.0,0.0954588
42,54,2MASS J04362788-4114465,142.0,0.037228932
43,55,2MASS J04390101-2353083 [de],29.5,0.045820224
44,57,2MASS J04433764+0002040,82.0,0.021000936
45,58,2MASS J04455387-3048204 [de],42.0,0.061093632
46,59,2MASS J04510093-3402150 [de],69.0,0.068730336
47,60,2MASS J05002100+0330501 [de],44.0,0.061093632
48,61,2MASS J05012406-0010452 [de],64.0,0.020046348
49,62,2MASS J05160945-0445499 [de],73.0,0.044865636
50,63,2MASS J0523−1403,40.0,0.064911984
51,65,SDSS J053951.99-005902.0,41.62,0.058229868
52,67,LSR 0602+3910 [de],34.6,0.026728464
53,68,2MASS J06085283-2753583,102.0,0.036274344
54,71,2MASS J06244595-4521548 [de],39.0,0.053456928
55,72,2MASS J06411840-4322329 [de],65.0,0.063957396
56,73,DENIS-P J0652197-253450 [de],51.0,0.0715941
57,75,2MASS J07075327-4900503,60.0,0.068730336
58,76,UGPS J072227.51-054031.2,13.4,0.024819288
59,77,2MASSI J0727182+171001 [de],29.6,0.039138108
60,78,2MASS J07290002-3954043 [de],25.8,0.035319756
61,79,SDSS J074201.41+205520.5 [de],49.0,0.041047284
62,81,DENIS-P J0751164-253043 [de],55.0,0.067775748
63,82,2MASS J07522390+1612157,60.0,0.064911984
64,83,DENIS J081730.0-615520,16.1,0.042001872
65,86,2MASS J08251968+2115521 [de],35.0,0.049638576
66,87,SDSSp J083008.12+482847.4 [de],43.0,0.045820224
67,88,LHS 2021,55.0,0.084003744
68,89,SDSS J083048.80+012831.1 [de],77.0,0.043911048
69,90,2MASSI J0835425-081923 [de],23.53,0.059184456
70,91,2MASSI J0847287-153237 [de],43.0,0.061093632
71,92,2MASS J08533619-0329321,27.6,0.073503276
